timeframe,feature_set,fold,feature,importance_gain,importance_split
M5,volume_assisted,fold_3,open_to_close_pct,812.0503044128418,28.0
M5,volume_assisted,fold_3,high_low_range_pct,113.87299823760986,8.0
M5,volume_assisted,fold_3,upper_wick_pct,534.2664003372192,26.0
M5,volume_assisted,fold_3,lower_wick_pct,401.96889877319336,25.0
M5,volume_assisted,fold_3,close_position_in_bar,3717.2145738601685,73.0
M5,volume_assisted,fold_3,close_sma_5_ratio,367.96399974823,19.0
M5,volume_assisted,fold_3,close_ema_5_ratio,10518.545409202576,50.0
M5,volume_assisted,fold_3,rolling_vol_5,212.97510051727295,15.0
M5,volume_assisted,fold_3,close_sma_10_ratio,260.67840003967285,15.0
M5,volume_assisted,fold_3,close_ema_10_ratio,3519.1976747512817,32.0
M5,volume_assisted,fold_3,rolling_vol_10,132.98140048980713,8.0
M5,volume_assisted,fold_3,close_sma_20_ratio,743.2759981155396,29.0
M5,volume_assisted,fold_3,close_ema_20_ratio,295.8195962905884,11.0
M5,volume_assisted,fold_3,rolling_vol_20,92.66499996185303,6.0
M5,volume_assisted,fold_3,close_sma_50_ratio,96.0098991394043,5.0
M5,volume_assisted,fold_3,close_ema_50_ratio,167.5802001953125,11.0
M5,volume_assisted,fold_3,rolling_vol_50,73.21789836883545,5.0
M5,volume_assisted,fold_3,close_sma_100_ratio,67.5310001373291,5.0
M5,volume_assisted,fold_3,close_ema_100_ratio,90.65199947357178,6.0
M5,volume_assisted,fold_3,rolling_vol_100,208.26709842681885,14.0
M5,volume_assisted,fold_3,close_sma_200_ratio,268.69020080566406,17.0
M5,volume_assisted,fold_3,close_ema_200_ratio,253.2101993560791,16.0
M5,volume_assisted,fold_3,rolling_vol_200,236.68199825286865,16.0
M5,volume_assisted,fold_3,roc_5,300.19869899749756,19.0
M5,volume_assisted,fold_3,roc_10,185.22540092468262,12.0
M5,volume_assisted,fold_3,roc_20,275.4784994125366,19.0
M5,volume_assisted,fold_3,rsi_14,520.8517017364502,32.0
M5,volume_assisted,fold_3,true_range_pct,194.77029991149902,13.0
M5,volume_assisted,fold_3,atr_pct_14,255.24579906463623,17.0
M5,volume_assisted,fold_3,bb_width_pct_20,335.89749908447266,24.0
M5,volume_assisted,fold_3,bb_position_20,776.4606046676636,28.0
M5,volume_assisted,fold_3,volume_z20,195.51859951019287,14.0
M15,price_only,fold_1,minute_of_day_sin,1776.2403545379639,159.0
M15,price_only,fold_1,minute_of_day_cos,2316.70445394516,196.0
M15,price_only,fold_1,day_of_week_sin,329.15020179748535,34.0
M15,price_only,fold_1,day_of_week_cos,269.58887910842896,27.0
M15,price_only,fold_1,month_sin,461.58525943756104,47.0
M15,price_only,fold_1,month_cos,673.1713490486145,59.0
M15,price_only,fold_1,is_after_gap,0.0,0.0
M15,price_only,fold_1,gap_minutes_from_prev_bar,39.53879976272583,6.0
M15,price_only,fold_1,open_rel_prev_close,1045.6381278038025,110.0
M15,price_only,fold_1,high_rel_prev_close,1437.8761076927185,140.0
M15,price_only,fold_1,low_rel_prev_close,1027.7540893554688,108.0
M15,price_only,fold_1,close_rel_prev_close,823.8408150672913,75.0
M15,price_only,fold_1,log_ret_1,213.83692932128906,20.0
M15,price_only,fold_1,log_ret_2,1553.3175053596497,145.0
M15,price_only,fold_1,log_ret_3,1513.395184993744,144.0
M15,price_only,fold_1,log_ret_6,1115.2184281349182,113.0
M15,price_only,fold_1,log_ret_12,1066.5015845298767,108.0
M15,price_only,fold_1,log_ret_24,1201.6742577552795,126.0
M15,price_only,fold_1,log_ret_48,1182.4450674057007,118.0
M15,price_only,fold_1,open_to_close_pct,853.9272608757019,86.0
M15,price_only,fold_1,high_low_range_pct,768.4643898010254,75.0
M15,price_only,fold_1,upper_wick_pct,1506.2008085250854,146.0
M15,price_only,fold_1,lower_wick_pct,1176.5011882781982,121.0
M15,price_only,fold_1,close_position_in_bar,2654.3147559165955,213.0
M15,price_only,fold_1,close_sma_5_ratio,2151.119122028351,102.0
M15,price_only,fold_1,close_ema_5_ratio,3918.1866493225098,110.0
M15,price_only,fold_1,rolling_vol_5,1097.8059315681458,113.0
M15,price_only,fold_1,close_sma_10_ratio,678.7234225273132,62.0
M15,price_only,fold_1,close_ema_10_ratio,979.7188267707825,76.0
M15,price_only,fold_1,rolling_vol_10,1135.8899340629578,114.0
M15,price_only,fold_1,close_sma_20_ratio,634.3429799079895,64.0
M15,price_only,fold_1,close_ema_20_ratio,633.4909172058105,61.0
M15,price_only,fold_1,rolling_vol_20,1148.0298800468445,114.0
M15,price_only,fold_1,close_sma_50_ratio,869.9705228805542,86.0
M15,price_only,fold_1,close_ema_50_ratio,728.9910297393799,73.0
M15,price_only,fold_1,rolling_vol_50,1194.9367656707764,119.0
M15,price_only,fold_1,close_sma_100_ratio,1027.1126646995544,101.0
M15,price_only,fold_1,close_ema_100_ratio,788.0467920303345,75.0
M15,price_only,fold_1,rolling_vol_100,1181.4986667633057,120.0
M15,price_only,fold_1,close_sma_200_ratio,1069.2849206924438,108.0
M15,price_only,fold_1,close_ema_200_ratio,1378.759560585022,138.0
M15,price_only,fold_1,rolling_vol_200,1363.5421996116638,140.0
M15,price_only,fold_1,roc_5,1272.4084701538086,123.0
M15,price_only,fold_1,roc_10,1031.910982131958,103.0
M15,price_only,fold_1,roc_20,743.3755197525024,78.0
M15,price_only,fold_1,rsi_14,1150.8469128608704,118.0
M15,price_only,fold_1,true_range_pct,1028.9233207702637,100.0
M15,price_only,fold_1,atr_pct_14,1120.9984126091003,114.0
M15,price_only,fold_1,bb_width_pct_20,1131.4341402053833,110.0
M15,price_only,fold_1,bb_position_20,841.0307259559631,82.0
M15,price_only,fold_2,minute_of_day_sin,587.099814414978,41.0
M15,price_only,fold_2,minute_of_day_cos,665.645206451416,44.0
M15,price_only,fold_2,day_of_week_sin,44.95569038391113,4.0
M15,price_only,fold_2,day_of_week_cos,41.379899978637695,4.0
M15,price_only,fold_2,month_sin,58.520599365234375,5.0
M15,price_only,fold_2,month_cos,122.67674922943115,7.0
M15,price_only,fold_2,is_after_gap,10.198100090026855,1.0
M15,price_only,fold_2,gap_minutes_from_prev_bar,0.0,0.0
M15,price_only,fold_2,open_rel_prev_close,118.14687919616699,10.0
M15,price_only,fold_2,high_rel_prev_close,200.11320686340332,17.0
M15,price_only,fold_2,low_rel_prev_close,207.36503219604492,17.0
M15,price_only,fold_2,close_rel_prev_close,190.54296970367432,15.0
M15,price_only,fold_2,log_ret_1,54.68185043334961,4.0
M15,price_only,fold_2,log_ret_2,610.6025266647339,39.0
M15,price_only,fold_2,log_ret_3,558.638313293457,27.0
M15,price_only,fold_2,log_ret_6,248.42601871490479,20.0
M15,price_only,fold_2,log_ret_12,245.42424964904785,20.0
M15,price_only,fold_2,log_ret_24,115.43850040435791,9.0
M15,price_only,fold_2,log_ret_48,195.03120136260986,16.0
M15,price_only,fold_2,open_to_close_pct,326.1022186279297,24.0
M15,price_only,fold_2,high_low_range_pct,212.270601272583,16.0
M15,price_only,fold_2,upper_wick_pct,651.4551191329956,42.0
M15,price_only,fold_2,lower_wick_pct,392.2985496520996,32.0
M15,price_only,fold_2,close_position_in_bar,1229.9934453964233,64.0
M15,price_only,fold_2,close_sma_5_ratio,1718.6923761367798,27.0
M15,price_only,fold_2,close_ema_5_ratio,3016.3684091567993,47.0
M15,price_only,fold_2,rolling_vol_5,305.8411874771118,25.0
M15,price_only,fold_2,close_sma_10_ratio,247.46216773986816,14.0
M15,price_only,fold_2,close_ema_10_ratio,178.62789916992188,12.0
M15,price_only,fold_2,rolling_vol_10,180.3736801147461,15.0
M15,price_only,fold_2,close_sma_20_ratio,175.87809085845947,14.0
M15,price_only,fold_2,close_ema_20_ratio,127.2775011062622,9.0
M15,price_only,fold_2,rolling_vol_20,147.7090196609497,13.0
M15,price_only,fold_2,close_sma_50_ratio,163.91215991973877,13.0
